TYPE_OF_CANCER_ID	NAME	CLINICAL_TRIAL_KEYWORDS	DEDICATED_COLOR	SHORT_NAME	PARENT
pint	Pineal Tumor	pineal tumor	Gray	PINT	brain
plbl	Plasmablastic Lymphoma	plasmablastic lymphoma	LimeGreen	PLBL	mbn
plbmeso	Pleural Mesothelioma, Biphasic Type	pleural mesothelioma, biphasic type	Blue	PLBMESO	plmeso
plemeso	Pleural Mesothelioma, Epithelioid Type	pleural mesothelioma, epithelioid type	Blue	PLEMESO	plmeso
pleura	Pleura	pleura	Blue	PLEURA	tissue
plgg	Pediatric Low Grade Gliomas	brain,brain tumor	Turquoise	plgg	difg
plls	Pleomorphic Liposarcoma	pleomorphic liposarcoma	LightYellow	PLLS	lipo
plmeso	Pleural Mesothelioma	pleural mesothelioma	Blue	PLMESO	pleura
plrms	Pleomorphic Rhabdomyosarcoma	pleomorphic rhabdomyosarcoma	LightYellow	PLRMS	rms
plsmeso	Pleural Mesothelioma, Sarcomatoid Type	pleural mesothelioma, sarcomatoid type	Blue	PLSMESO	plmeso
pma	Pilomyxoid Astrocytoma	pilomyxoid astrocytoma	Gray	PMA	encg
pmbl	Primary Mediastinal (Thymic) Large B-Cell Lymphoma	primary mediastinal (thymic) large b-cell lymphoma	LimeGreen	PMBL	mbn
pmf	Primary Myelofibrosis	primary myelofibrosis	LightSalmon	PMF	mpn
pmfofs	Primary Myelofibrosis,Overt Fibrotic Stage	primary myelofibrosis,overt fibrotic stage	LightSalmon	PMFOFS	pmf
pmfpes	Primary Myelofibrosis, Prefibrotic/Early Stage	primary myelofibrosis, prefibrotic/early stage	LightSalmon	PMFPES	pmf
pmhe	Pseudomyogenic Hemangioendothelioma	pseudomyogenic hemangioendothelioma	LightYellow	PMHE	soft_tissue
pnet	Primitive Neuroectodermal Tumor	primitive neuroectodermal tumor	Gray	PNET	embt
pns	Peripheral Nervous System	peripheral nervous system	Gray	PNS	tissue
poca	Porocarcinoma/Spiroadenocarcinoma	porocarcinoma/spiroadenocarcinoma	Black	POCA	skin
poro	Poroma/Acrospiroma	poroma/acrospiroma	Black	PORO	skin
ppb	Pleuropulmonary Blastoma	pleuropulmonary blastoma	Gainsboro	PPB	lung
ppct	Proliferating Pilar Cystic Tumor	proliferating pilar cystic tumor	Black	PPCT	skin
ppm	Papillary Meningioma	papillary meningioma	Gray	PPM	mngt
pptid	Pineal Parenchymal Tumor of Intermediate Differentiation	pineal parenchymal tumor of intermediate differentiation	Gray	PPTID	pint
pptld	Polymorphic PTLD	polymorphic ptld	LimeGreen	PPTLD	ptld
prad	Prostate Adenocarcinoma	prostate adenocarcinoma	Cyan	PRAD	prostate
prcc	Papillary Renal Cell Carcinoma	papillary renal cell carcinoma	Orange	PRCC	nccrcc
prne	Prostate Neuroendocrine Carcinoma	prostate neuroendocrine carcinoma	Cyan	PRNE	prostate
prnet	Primary Neuroepithelial Tumor	primary neuroepithelial tumor	Gray	PRNET	mbt
prostate	Prostate	prostate	Cyan	PROSTATE	tissue
prsc	Prostate Squamous Cell Carcinoma	prostate squamous cell carcinoma	Cyan	PRSC	prostate
prscc	Prostate Small Cell Carcinoma	prostate small cell carcinoma	Cyan	PRSCC	prostate
psc	Serous Cystadenoma of the Pancreas	serous cystadenoma of the pancreas	Purple	PSC	pact
pscc	Penile Squamous Cell Carcinoma	penile squamous cell carcinoma	Blue	PSCC	penis
psec	Peritoneal Serous Carcinoma	peritoneal serous carcinoma	Green	PSEC	peritoneum
pstad	Papillary Stomach Adenocarcinoma	papillary stomach adenocarcinoma	LightSkyBlue	PSTAD	stad
pstt	Placental Site Trophoblastic Tumor	placental site trophoblastic tumor	PeachPuff	PSTT	gtd
pt	Phyllodes Tumor of the Breast	phyllodes tumor of the breast	HotPink	PT	bfn
ptad	Pituitary Adenoma	pituitary adenoma	Gray	PTAD	selt
ptca	Pituitary Carcinoma	pituitary carcinoma	Gray	PTCA	selt
ptcl	Peripheral T-Cell lymphoma, NOS	peripheral t-cell lymphoma, nos	LimeGreen	PTCL	mtnn
ptcy	Pituicytoma	pituicytoma	Gray	PTCY	selt
ptes	Proximal-Type Epithelioid Sarcoma	proximal-type epithelioid sarcoma	LightYellow	PTES	epis
ptfl	Pediatric-Type Follicular Lymphoma	pediatric-type follicular lymphoma	LimeGreen	PTFL	mbn
pth	Parathyroid Cancer	parathyroid cancer	DarkRed	PTH	head_neck
pthc	Parathyroid Carcinoma	parathyroid carcinoma	DarkRed	PTHC	pth
ptld	Posttransplant Lymphoproliferative Disorders	posttransplant lymphoproliferative disorders	LimeGreen	PTLD	lnm
ptpr	Papillary Tumor of the Pineal Region	papillary tumor of the pineal region	Gray	PTPR	pint
pv	Polycythemia Vera	polycythemia vera	LightSalmon	PV	mpn
pvmf	Polycythaemia Vera Myelofibrosis	polycythaemia vera myelofibrosis	LightSalmon	PVMF	pv
pxa	Pleomorphic Xanthoastrocytoma	pleomorphic xanthoastrocytoma	Gray	PXA	encg
raml	Renal Angiomyolipoma	renal angiomyolipoma	Orange	RAML	nccrcc
ras	Radiation-Associated Sarcoma	radiation-associated sarcoma	LightYellow	RAS	soft_tissue
rbl	Retinoblastoma	retinoblastoma	Green	RBL	eye
rcc	Renal Cell Carcinoma	renal cell carcinoma	Orange	RCC	kidney
rcsnos	Round Cell Sarcoma, NOS	round cell sarcoma, nos	LightYellow	RCSNOS	soft_tissue
rcyc	Refractory Cytopenia of Childhood	refractory cytopenia of childhood	LightSalmon	RCYC	mds
rdd	Rosai-Dorfman Disease	rosai-dorfman disease	LightSalmon	RDD	hdcn
read	Rectal Adenocarcinoma	rectal adenocarcinoma	SaddleBrown	READ	coadread
rgnt	Rosette-forming Glioneuronal Tumor of the Fourth Ventricle	rosette-forming glioneuronal tumor of the fourth ventricle	Gray	RGNT	mnet
rhm	Rhabdoid Meningioma	rhabdoid meningioma	Gray	RHM	mngt
rlclc	Large Cell Lung Carcinoma With Rhabdoid Phenotype	large cell lung carcinoma with rhabdoid phenotype	Gainsboro	RLCLC	lclc
rms	Rhabdomyosarcoma	rhabdomyosarcoma	LightYellow	RMS	soft_tissue
rnet	Renal Neuroendocrine Tumor	renal neuroendocrine tumor	Orange	RNET	kidney
rocy	Renal Oncocytoma	renal oncocytoma	Orange	ROCY	nccrcc
rscc	Renal Small Cell Carcinoma	renal small cell carcinoma	Orange	RSCC	nccrcc
rwdnet	Well-Differentiated Neuroendocrine Tumor of the Rectum	well-differentiated neuroendocrine tumor of the rectum	SaddleBrown	RWDNET	ginet
saad	Salivary Adenocarcinoma	salivary adenocarcinoma	DarkRed	SAAD	saca
saca	Salivary Carcinoma	salivary carcinoma	DarkRed	SACA	head_neck
sarcl	Sarcomatoid Carcinoma of the Lung	sarcomatoid carcinoma of the lung	Gainsboro	SARCL	lung
sarcnos	Sarcoma, NOS	sarcoma, nos	LightYellow	SARCNOS	soft_tissue
sbc	Small Bowel Cancer	small bowel cancer	SaddleBrown	SBC	bowel
sbl	Sialoblastoma	sialoblastoma	DarkRed	SBL	head_neck
sblu	Splenic B-Cell Lymphoma/Leukemia, Unclassifiable	splenic b-cell lymphoma/leukemia, unclassifiable	LimeGreen	SBLU	mbn
sbmov	Serous Borderline Ovarian Tumor, Micropapillary	serous borderline ovarian tumor, micropapillary	LightBlue	SBMOV	ovt
sbov	Serous Borderline Ovarian Tumor	serous borderline ovarian tumor	LightBlue	SBOV	ovt
sbwdnet	Small Bowel Well-Differentiated Neuroendocrine Tumor	small bowel well-differentiated neuroendocrine tumor	SaddleBrown	SBWDNET	ginet
scb	Sarcomatoid Carcinoma of the Urinary Bladder	sarcomatoid carcinoma of the urinary bladder	Yellow	SCB	bladder
scbc	Small Cell Bladder Cancer	small cell bladder cancer	Yellow	SCBC	bladder
scce	Small Cell Carcinoma of the Cervix	small cell carcinoma of the cervix	Teal	SCCE	cervix
sccnos	Squamous Cell Carcinoma, NOS	squamous cell carcinoma, nos	Black	SCCNOS	cup
scco	Small Cell Carcinoma of the Ovary	small cell carcinoma of the ovary	LightBlue	SCCO	ovt
sccrcc	Renal Clear Cell Carcinoma with Sarcomatoid Features	renal clear cell carcinoma with sarcomatoid features	Orange	SCCRCC	ccrcc
scemu	Signet Ring Mucinous Carcinoma	signet ring mucinous carcinoma	Teal	SCEMU	cemu
scgbc	Small Cell Gallbladder Carcinoma	small cell gallbladder carcinoma	Green	SCGBC	gbc
scgbm	Small Cell Glioblastoma	small cell glioblastoma	Gray	SCGBM	gb
schw	Schwannoma	schwannoma	Gray	SCHW	nst
sclc	Small Cell Lung Cancer	small cell lung cancer	Gainsboro	SCLC	lnet
scoah	Spindle Cell Oncocytoma of the Adenohypophysis	spindle cell oncocytoma of the adenohypophysis	Gray	SCOAH	selt
scos	Small Cell Osteosarcoma	small cell osteosarcoma	White	SCOS	os
scrms	Spindle Cell Rhabdomyosarcoma	spindle cell rhabdomyosarcoma	LightYellow	SCRMS	rms
scsrms	Spindle Cell/Sclerosing Rhabdomyosarcoma	spindle cell/sclerosing rhabdomyosarcoma	LightYellow	SCSRMS	rms
scst	Sex Cord Stromal Tumor	sex cord stromal tumor	LightBlue	SCST	ovary
sct	Steroid Cell Tumor, NOS	steroid cell tumor, nos	LightBlue	SCT	scst
scup	Small Cell Carcinoma of Unknown Primary	small cell carcinoma of unknown primary	Black	SCUP	cup
sdca	Salivary Duct Carcinoma	salivary duct carcinoma	DarkRed	SDCA	saca
sdrpl	Splenic Diffuse Red Pulp Small B-Cell Lymphoma	splenic diffuse red pulp small b-cell lymphoma	LimeGreen	SDRPL	sblu
seba	Sebaceous Carcinoma	sebaceous carcinoma	Black	SEBA	skin
sebvtlc	Systemic EBV Positive T-Cell Lymphoma of Childhood	systemic ebv positive t-cell lymphoma of childhood	LimeGreen	SEBVTLC	mtnn
secos	Secondary Osteosarcoma	secondary osteosarcoma	White	SECOS	os
sef	Sclerosing Epithelioid Fibrosarcoma	sclerosing epithelioid fibrosarcoma	LightYellow	SEF	fibs
selt	Sellar Tumor	sellar tumor	Gray	SELT	brain
sem	Seminoma	seminoma	Red	SEM	testis
sft	Solitary Fibrous Tumor/Hemangiopericytoma	solitary fibrous tumor/hemangiopericytoma	LightYellow	SFT	soft_tissue
sftcns	Solitary Fibrous Tumor of the Central Nervous System	solitary fibrous tumor of the central nervous system	Gray	SFTCNS	mngt
sgad	Sweat Gland Adenocarcinoma	sweat gland adenocarcinoma	Black	SGAD	skin
sgo	Salivary Gland Oncocytoma	salivary gland oncocytoma	DarkRed	SGO	saca
sgttl	Salivary Gland-Type Tumor of the Lung	salivary gland-type tumor of the lung	Gainsboro	SGTTL	nsclc
sic	Small Intestinal Carcinoma	small intestinal carcinoma	SaddleBrown	SIC	bowel
skac	Skin Adnexal Carcinoma	skin adnexal carcinoma	Black	SKAC	skin
skcm	Cutaneous Melanoma	cutaneous melanoma	Black	SKCM	mel
skcn	Congenital Nevus	congenital nevus	Black	SKCN	mel
skin	Skin	skin	Black	SKIN	tissue
sklmm	Lentigo Maligna Melanoma	lentigo maligna melanoma	Black	SKLMM	mel
slct	Sertoli-Leydig Cell Tumor	sertoli-leydig cell tumor	LightBlue	SLCT	scst
sm	Systemic Mastocytosis	systemic mastocytosis	LightSalmon	SM	mcd
smahn	Systemic Mastocytosis with an Associated Hematological Neoplasm	systemic mastocytosis with an associated hematological neoplasm	LightSalmon	SMAHN	sm
smmcl	Mast Cell Leukemia	mast cell leukemia	LightSalmon	SMMCL	sm
smn	Smooth Muscle Neoplasm, NOS	smooth muscle neoplasm, nos	LightSkyBlue	SMN	stomach
smzl	Splenic Marginal Zone Lymphoma	splenic marginal zone lymphoma	LimeGreen	SMZL	mzl
sna	Sinonasal Adenocarcinoma	sinonasal adenocarcinoma	DarkRed	SNA	ohnca
snsc	Sinonasal Squamous Cell Carcinoma	sinonasal squamous cell carcinoma	DarkRed	SNSC	hnsc
snuc	Sinonasal Undifferentiated Carcinoma	sinonasal undifferentiated carcinoma	DarkRed	SNUC	ohnca
soc	Serous Ovarian Cancer	serous ovarian cancer	LightBlue	SOC	ovt
soft_tissue	Soft Tissue	soft tissue	LightYellow	SOFT_TISSUE	tissue
spb	Solitary Plasmacytoma of Bone	solitary plasmacytoma of bone	LimeGreen	SPB	mbn
spc	Solid Papillary Carcinoma of the Breast	solid papillary carcinoma of the breast	HotPink	SPC	brca
spcc	Spindle Cell Carcinoma of the Lung	spindle cell carcinoma of the lung	Gainsboro	SPCC	nsclc
spdac	Poorly Differentiated Carcinoma of the Stomach	poorly differentiated carcinoma of the stomach	LightSkyBlue	SPDAC	ustad
spir	Spiroma/Spiradenoma	spiroma/spiradenoma	Black	SPIR	skin
spn	Solid Pseudopapillary Neoplasm of the Pancreas	solid pseudopapillary neoplasm of the pancreas	Purple	SPN	pancreas
sptcl	Subcutaneous Panniculitis-Like T-Cell Lymphoma	subcutaneous panniculitis-like t-cell lymphoma	LimeGreen	SPTCL	mtnn
spzm	Spitzoid Melanoma	spitzoid melanoma	Black	SPZM	mel
srap	Signet Ring Cell Type of the Appendix	signet ring cell type of the appendix	SaddleBrown	SRAP	apad
srcbc	Plasmacytoid/Signet Ring Cell Bladder Carcinoma	plasmacytoid/signet ring cell bladder carcinoma	Yellow	SRCBC	bladder
srcc	Sarcomatoid Renal Cell Carcinoma	sarcomatoid renal cell carcinoma	Orange	SRCC	nccrcc
srccr	Signet Ring Cell Adenocarcinoma of the Colon and Rectum	signet ring cell adenocarcinoma of the colon and rectum	SaddleBrown	SRCCR	coadread
ss	Sezary Syndrome	sezary syndrome	LimeGreen	SS	mtnn
ssm	Smoldering Systemic Mastocytosis	smoldering systemic mastocytosis	LightSalmon	SSM	sm
ssrcc	Signet Ring Cell Carcinoma of the Stomach	signet ring cell carcinoma of the stomach	LightSkyBlue	SSRCC	ustad
stad	Stomach Adenocarcinoma	stomach adenocarcinoma	LightSkyBlue	STAD	egc
stas	Adenosquamous Carcinoma of the Stomach	adenosquamous carcinoma of the stomach	LightSkyBlue	STAS	egc
stmyec	Soft Tissue Myoepithelial Carcinoma	soft tissue myoepithelial carcinoma	LightYellow	STMYEC	soft_tissue
stomach	Esophagus/Stomach	esophagus/stomach	LightSkyBlue	STOMACH	tissue
stsc	Small Cell Carcinoma of the Stomach	small cell carcinoma of the stomach	LightSkyBlue	STSC	egc
sube	Subependymoma	subependymoma	Gray	SUBE	epmt
swdnet	Well-Differentiated Neuroendocrine Tumors of the Stomach	well-differentiated neuroendocrine tumors of the stomach	LightSkyBlue	SWDNET	ginetes
syns	Synovial Sarcoma	synovial sarcoma	LightYellow	SYNS	soft_tissue
tac	Tubular Adenoma of the Colon	tubular adenoma of the colon	SaddleBrown	TAC	bowel
tam	Transient Abnormal Myelopoiesis	transient abnormal myelopoiesis	LightSalmon	TAM	mprds
taml	Therapy-Related Acute Myeloid Leukemia	therapy-related acute myeloid leukemia	LightSalmon	TAML	tmn
tcca	Choriocarcinoma	choriocarcinoma	Red	TCCA	nsgct
teos	Telangiectatic Osteosarcoma	telangiectatic osteosarcoma	White	TEOS	os
testis	Testis	testis	Red	TESTIS	tissue
tet	Thymic Epithelial Tumor	thymic epithelial tumor	Purple	TET	thymus
tgct	Tenosynovial Giant Cell Tumor Diffuse Type	tenosynovial giant cell tumor diffuse type	LightYellow	TGCT	soft_tissue
thap	Anaplastic Thyroid Cancer	anaplastic thyroid cancer	Teal	THAP	thyroid
thfo	Follicular Thyroid Cancer	follicular thyroid cancer	Teal	THFO	wdtc
thhc	Hurthle Cell Thyroid Cancer	hurthle cell thyroid cancer	Teal	THHC	thyroid
thme	Medullary Thyroid Cancer	medullary thyroid cancer	Teal	THME	thyroid
