TYPE_OF_CANCER_ID	NAME	CLINICAL_TRIAL_KEYWORDS	DEDICATED_COLOR	SHORT_NAME	PARENT
aa	Aggressive Angiomyxoma	aggressive angiomyxoma	LightYellow	AA	soft_tissue
aastr	Anaplastic Astrocytoma	anaplastic astrocytoma	Gray	AASTR	difg
abc	Activated B-cell Type	activated b-cell type	LimeGreen	ABC	dlbclnos
abl	Acute Basophilic Leukemia	acute basophilic leukemia	LightSalmon	ABL	amlnos
aca	Adrenocortical Adenoma	adrenocortical adenoma	Purple	ACA	adrenal_gland
acbc	Adenoid Cystic Breast Cancer	adenoid cystic breast cancer	HotPink	ACBC	brca
acc	Adrenocortical Carcinoma	adrenocortical carcinoma	Purple	ACC	adrenal_gland
accc	Acinic Cell Carcinoma	acinic cell carcinoma	DarkRed	ACCC	saca
acml	Atypical Chronic Myeloid Leukemia, BCR-ABL1-	atypical chronic myeloid leukemia, bcr-abl1-	LightSalmon	ACML	mds/mpn
acn	Acinar Cell Carcinoma, NOS	acinar cell carcinoma, nos	Black	ACN	cup
acpg	Craniopharyngioma, Adamantinomatous Type	craniopharyngioma, adamantinomatous type	Gray	ACPG	selt
acpp	Atypical Choroid Plexus Papilloma	atypical choroid plexus papilloma	Gray	ACPP	cpt
acrm	Acral Melanoma	acral melanoma	Black	ACRM	mel
acyc	Adenoid Cystic Carcinoma	adenoid cystic carcinoma	DarkRed	ACYC	saca
adma	Adamantinoma	adamantinoma	White	ADMA	bone
adnos	Adenocarcinoma, NOS	adenocarcinoma, nos	Black	ADNOS	cup
adpa	Aggressive Digital Papillary Adenocarcinoma	aggressive digital papillary adenocarcinoma	Black	ADPA	skin
adrenal_gland	Adrenal Gland	adrenal gland	Purple	ADRENAL_GLAND	tissue
aeca	Sweat Gland Carcinoma/Apocrine Eccrine Carcinoma	sweat gland carcinoma/apocrine eccrine carcinoma	Black	AECA	skin
afh	Angiomatoid Fibrous Histiocytoma	angiomatoid fibrous histiocytoma	LightYellow	AFH	soft_tissue
afx	Atypical Fibroxanthoma	atypical fibroxanthoma	Black	AFX	skin
aga	Anal Gland Adenocarcinoma	anal gland adenocarcinoma	SaddleBrown	AGA	bowel
agng	Anaplastic Ganglioglioma	anaplastic ganglioglioma	Gray	AGNG	encg
ahcd	Alpha Heavy-Chain Disease	alpha heavy-chain disease	LimeGreen	AHCD	mbn
ais	Adenocarcinoma In Situ	adenocarcinoma in situ	Black	AIS	other
aitl	Angioimmunoblastic T-Cell Lymphoma	angioimmunoblastic t-cell lymphoma	LimeGreen	AITL	mtnn
alal	Acute Leukemias of Ambiguous Lineage	acute leukemias of ambiguous lineage	LightSalmon	ALAL	mnm
alcl	Anaplastic Large Cell Lymphoma	anaplastic large cell lymphoma	LimeGreen	ALCL	mtnn
alclalkn	Anaplastic Large-Cell Lymphoma ALK Negative	anaplastic large-cell lymphoma alk negative	LimeGreen	ALCLALKN	alcl
alclalkp	Anaplastic Large-Cell Lymphoma ALK Positive	anaplastic large-cell lymphoma alk positive	LimeGreen	ALCLALKP	alcl
alklbcl	ALK Positive Large B-Cell Lymphoma	alk positive large b-cell lymphoma	LimeGreen	ALKLBCL	mbn
aluca	Atypical Lung Carcinoid	atypical lung carcinoid	Gainsboro	ALUCA	lnet
am	AML with Maturation	aml with maturation	LightSalmon	AM	amlnos
ambl	Large Cell/Anaplastic Medulloblastoma	large cell/anaplastic medulloblastoma	Gray	AMBL	embt
amkl	Acute Megakaryoblastic Leukemia	acute megakaryoblastic leukemia	LightSalmon	AMKL	amlnos
aml	Acute Myeloid Leukemia	acute myeloid leukemia	LightSalmon	AML	mnm
amlbcrabl1	AML with BCR-ABL1	aml with bcr-abl1	LightSalmon	AMLBCRABL1	amlrga
amlcbfbmyh11	AML with inv(16)(p13.1q22) or t(16;16)(p13.1;q22);CBFB-MYH11	aml with inv(16)(p13.1q22) or t(16;16)(p13.1;q22);cbfb-myh11	LightSalmon	AMLCBFBMYH11	amlrga
amlcebpa	AML with Biallelic Mutations of CEBPA	aml with biallelic mutations of cebpa	LightSalmon	AMLCEBPA	amlrga
amldeknup214	AML with t(6;9)(p23;q34.1);DEK-NUP214	aml with t(6;9)(p23;q34.1);dek-nup214	LightSalmon	AMLDEKNUP214	amlrga
amlgata2mecom	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	aml with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); gata2, mecom	LightSalmon	AMLGATA2MECOM	amlrga
amlmd	AML with Minimal Differentiation	aml with minimal differentiation	LightSalmon	AMLMD	amlnos
amlmllt3kmt2a	AML with t(9;11)(p21.3;q23.3);MLLT3-KMT2A	aml with t(9;11)(p21.3;q23.3);mllt3-kmt2a	LightSalmon	AMLMLLT3KMT2A	amlrga
amlmrc	AML with Myelodysplasia-Related Changes	aml with myelodysplasia-related changes	LightSalmon	AMLMRC	aml
amlnos	AML, NOS	aml, nos	LightSalmon	AMLNOS	aml
amlnpm1	AML with Mutated NPM1	aml with mutated npm1	LightSalmon	AMLNPM1	amlrga
amlrbm15mkl1	AML (megakaryoblastic) with t(1;22)(p13.3;q13.3);RBM15-MKL1	aml (megakaryoblastic) with t(1;22)(p13.3;q13.3);rbm15-mkl1	LightSalmon	AMLRBM15MKL1	amlrga
amlrga	AML with Recurrent Genetic Abnormalities	aml with recurrent genetic abnormalities	LightSalmon	AMLRGA	aml
amlrunx1	AML with Mutated RUNX1	aml with mutated runx1	LightSalmon	AMLRUNX1	amlrga
amlrunx1runx1t1	AML with t(8;21)(q22;q22.1);RUNX1-RUNX1T1	aml with t(8;21)(q22;q22.1);runx1-runx1t1	LightSalmon	AMLRUNX1RUNX1T1	amlrga
amml	Acute Myelomonocytic Leukemia	acute myelomonocytic leukemia	LightSalmon	AMML	amlnos
amol	Acute Monoblastic/Monocytic Leukemia	acute monoblastic/monocytic leukemia	LightSalmon	AMOL	amlnos
ampca	Ampullary Carcinoma	ampullary carcinoma	Purple	AMPCA	ampulla_of_vater
ampulla_of_vater	Ampulla of Vater	ampulla of vater	Purple	AMPULLA_OF_VATER	tissue
an	Atypical Nevus	atypical nevus	Black	AN	skin
angl	Angiocentric Glioma	angiocentric glioma	Gray	ANGL	mnet
angs	Angiosarcoma	angiosarcoma	LightYellow	ANGS	soft_tissue
ankl	Aggressive NK-Cell Leukemia	aggressive nk-cell leukemia	LimeGreen	ANKL	mtnn
anm	Anaplastic Meningioma	anaplastic meningioma	Gray	ANM	mngt
ansc	Anal Squamous Cell Carcinoma	anal squamous cell carcinoma	SaddleBrown	ANSC	bowel
aoast	Anaplastic Oligoastrocytoma	anaplastic oligoastrocytoma	Gray	AOAST	difg
aodg	Anaplastic Oligodendroglioma	anaplastic oligodendroglioma	Gray	AODG	difg
apad	Appendiceal Adenocarcinoma	appendiceal adenocarcinoma	SaddleBrown	APAD	bowel
ape	Anaplastic Ependymoma	anaplastic ependymoma	Gray	APE	epmt
aplpmlrara	APL with PML-RARA	apl with pml-rara	LightSalmon	APLPMLRARA	amlrga
apmf	Acute Panmyelosis with Myelofibrosis	acute panmyelosis with myelofibrosis	LightSalmon	APMF	amlnos
aptad	Atypical Pituitary Adenoma	atypical pituitary adenoma	Gray	APTAD	selt
apxa	Anaplastic Pleomorphic Xanthoastrocytoma	anaplastic pleomorphic xanthoastrocytoma	Gray	APXA	encg
armm	Anorectal Mucosal Melanoma	anorectal mucosal melanoma	SaddleBrown	ARMM	bowel
arms	Alveolar Rhabdomyosarcoma	alveolar rhabdomyosarcoma	LightYellow	ARMS	rms
asct	Adenosquamous Carcinoma of the Tongue	adenosquamous carcinoma of the tongue	DarkRed	ASCT	ohnca
asm	Aggressive Systemic Mastocytosis	aggressive systemic mastocytosis	LightSalmon	ASM	sm
asps	Alveolar Soft Part Sarcoma	alveolar soft part sarcoma	LightYellow	ASPS	soft_tissue
astb	Astroblastoma	astroblastoma	Gray	ASTB	mnet
astr	Astrocytoma	astrocytoma	Gray	ASTR	difg
atll	Adult T-Cell Leukemia/Lymphoma	adult t-cell leukemia/lymphoma	LimeGreen	ATLL	mtnn
atm	Atypical Meningioma	atypical meningioma	Gray	ATM	mngt
atrt	Atypical Teratoid/Rhabdoid Tumor	atypical teratoid/rhabdoid tumor	Gray	ATRT	embt
aul	Acute Undifferentiated Leukemia	acute undifferentiated leukemia	LightSalmon	AUL	alal
awdnet	Well-Differentiated Neuroendocrine Tumor of the Appendix	well-differentiated neuroendocrine tumor of the appendix	SaddleBrown	AWDNET	ginet
awm	AML without Maturation	aml without maturation	LightSalmon	AWM	amlnos
ba	Breast Angiosarcoma	breast angiosarcoma	HotPink	BA	pbs
bcc	Basal Cell Carcinoma	basal cell carcinoma	Black	BCC	skin
bcca	Choriocarcinoma	choriocarcinoma	Gray	BCCA	bgct
bclu	B-Cell Lymphoma, Unclassifiable, with Features Intermediate between DLBCL and Classical Hodgkin lymphoma	b-cell lymphoma, unclassifiable, with features intermediate between dlbcl and classical hodgkin lymphoma	LimeGreen	BCLU	mbn
bec	Embryonal Carcinoma	embryonal carcinoma	Gray	BEC	bgct
bfn	Breast Fibroepithelial Neoplasms	breast fibroepithelial neoplasms	HotPink	BFN	breast
bgct	Germ Cell Tumor, Brain	germ cell tumor, brain	Gray	BGCT	brain
bialcl	Breast Implant-Associated Anaplastic Large-Cell Lymphoma	breast implant-associated anaplastic large-cell lymphoma	LimeGreen	BIALCL	alcl
biliary_tract	Biliary Tract	biliary tract	Green	BILIARY_TRACT	tissue
bimt	Immature Teratoma	immature teratoma	Gray	BIMT	bgct
bl	Burkitt Lymphoma	burkitt lymphoma	LimeGreen	BL	mbn
blad	Bladder Adenocarcinoma	bladder adenocarcinoma	Yellow	BLAD	bladder
bladder	Bladder/Urinary Tract	bladder/urinary tract	Yellow	BLADDER	tissue
blca	Bladder Urothelial Carcinoma	bladder urothelial carcinoma	Yellow	BLCA	bladder
blclc	Basaloid Large Cell Carcinoma of the Lung	basaloid large cell carcinoma of the lung	Gainsboro	BLCLC	lclc
bll	B-Lymphoblastic Leukemia/Lymphoma	b-lymphoblastic leukemia/lymphoma	LimeGreen	BLL	lnm
bll11q	Burkitt-Like Lymphoma with 11q Aberration	burkitt-like lymphoma with 11q aberration	LimeGreen	BLL11Q	mbn
bllbcrabl1	B-Lymphoblastic Leukemia/Lymphoma with t(9;22)(q34.1;q11.2);BCR-ABL1	b-lymphoblastic leukemia/lymphoma with t(9;22)(q34.1;q11.2);bcr-abl1	LimeGreen	BLLBCRABL1	bllrga
bllbcrabl1l	B-Lymphoblastic Leukemia/Lymphoma, BCR-ABL1 Like	b-lymphoblastic leukemia/lymphoma, bcr-abl1 like	LimeGreen	BLLBCRABL1L	bllrga
blletv6runx1	B-Lymphoblastic Leukemia/Lymphoma with t(12;21)(p13.2;q22.1); ETV6-RUNX1	b-lymphoblastic leukemia/lymphoma with t(12;21)(p13.2;q22.1); etv6-runx1	LimeGreen	BLLETV6RUNX1	bllrga
bllhyper	B-Lymphoblastic Leukemia/Lymphoma with Hyperdiploidy	b-lymphoblastic leukemia/lymphoma with hyperdiploidy	LimeGreen	BLLHYPER	bllrga
bllhypo	B-Lymphoblastic Leukemia/Lymphoma with Hypodiploidy	b-lymphoblastic leukemia/lymphoma with hypodiploidy	LimeGreen	BLLHYPO	bllrga
blliamp21	B-Lymphoblastic Leukemia/Lymphoma with iAMP21	b-lymphoblastic leukemia/lymphoma with iamp21	LimeGreen	BLLIAMP21	bllrga
bllil3igh	B-Lymphoblastic Leukemia/Lymphoma with t(5;14)(q31.1;q32.3) IL3-IGH	b-lymphoblastic leukemia/lymphoma with t(5;14)(q31.1;q32.3) il3-igh	LimeGreen	BLLIL3IGH	bllrga
bllkmt2a	B-Lymphoblastic Leukemia/Lymphoma with t(v;11q23.3);KMT2A Rearranged	b-lymphoblastic leukemia/lymphoma with t(v;11q23.3);kmt2a rearranged	LimeGreen	BLLKMT2A	bllrga
bllnos	B-Lymphoblastic Leukemia/Lymphoma, NOS	b-lymphoblastic leukemia/lymphoma, nos	LimeGreen	BLLNOS	bll
bllrga	B-Lymphoblastic Leukemia/Lymphoma with Recurrent Genetic Abnormalities	b-lymphoblastic leukemia/lymphoma with recurrent genetic abnormalities	LimeGreen	BLLRGA	bll
blltcf3pbx1	B-Lymphoblastic Leukemia/Lymphoma with t(1;19)(q23;p13.3);TCF3-PBX1	b-lymphoblastic leukemia/lymphoma with t(1;19)(q23;p13.3);tcf3-pbx1	LimeGreen	BLLTCF3PBX1	bllrga
blpt	Borderline Phyllodes Tumor of the Breast	borderline phyllodes tumor of the breast	HotPink	BLPT	pt
blsc	Bladder Squamous Cell Carcinoma	bladder squamous cell carcinoma	Yellow	BLSC	bladder
bmgct	Mixed Germ Cell Tumor	mixed germ cell tumor	Gray	BMGCT	bgct
bmgt	Malignant Teratoma	malignant teratoma	Gray	BMGT	bgct
bmt	Mature Teratoma	mature teratoma	Gray	BMT	bgct
bnnos	Breast Neoplasm, NOS	breast neoplasm, nos	HotPink	BNNOS	breast
bone	Bone	bone	White	BONE	tissue
bowel	Bowel	bowel	SaddleBrown	BOWEL	tissue
bpdcn	Blastic Plasmacytoid Dendritic Cell Neoplasm	blastic plasmacytoid dendritic cell neoplasm	LightSalmon	BPDCN	mnm
bpll	B-Cell Prolymphocytic Leukemia	b-cell prolymphocytic leukemia	LimeGreen	BPLL	mbn
bpscc	Basaloid Penile Squamous Cell Carcinoma	basaloid penile squamous cell carcinoma	Blue	BPSCC	pscc
bpt	Benign Phyllodes Tumor of the Breast	benign phyllodes tumor of the breast	HotPink	BPT	pt
brain	CNS/Brain	cns/brain	Gray	BRAIN	tissue
brame	Adenomyoepithelioma of the Breast	adenomyoepithelioma of the breast	HotPink	BRAME	breast
brca	Invasive Breast Carcinoma	invasive breast carcinoma	HotPink	BRCA	breast
brcanos	Breast Invasive Cancer, NOS	breast invasive cancer, nos	HotPink	BRCANOS	brca
brcnos	Breast Invasive Carcinoma, NOS	breast invasive carcinoma, nos	HotPink	BRCNOS	brca
breast	Breast	breast	HotPink	BREAST	tissue
brsrcc	Breast Carcinoma with Signet Ring	breast carcinoma with signet ring	HotPink	BRSRCC	brca
btbeov	Brenner Tumor, Benign	brenner tumor, benign	LightBlue	BTBEOV	btov
btbov	Brenner Tumor, Borderline	brenner tumor, borderline	LightBlue	BTBOV	btov
btmov	Brenner Tumor, Malignant	brenner tumor, malignant	LightBlue	BTMOV	btov
btov	Brenner Tumor	brenner tumor	LightBlue	BTOV	ovt
byst	Yolk Sac Tumor	yolk sac tumor	Gray	BYST	bgct
cabc	Cervical Adenoid Basal Carcinoma	cervical adenoid basal carcinoma	Teal	CABC	cervix
cacc	Cervical Adenoid Cystic Carcinoma	cervical adenoid cystic carcinoma	Teal	CACC	cervix
cais	Colon Adenocarcinoma In Situ	colon adenocarcinoma in situ	SaddleBrown	CAIS	coadread
ccbov	Clear Cell Borderline Ovarian Tumor	clear cell borderline ovarian tumor	LightBlue	CCBOV	ovt
cce	Clear Cell Ependymoma	clear cell ependymoma	Gray	CCE	epmt
cchdm	Conventional Type Chordoma	conventional type chordoma	White	CCHDM	chdm
cchm	Carcinoma with Chondroid Metaplasia	carcinoma with chondroid metaplasia	HotPink	CCHM	mmbc
cclc	Clear Cell Carcinoma of the Lung	clear cell carcinoma of the lung	Gainsboro	CCLC	lclc
ccm	Clear cell Meningioma	clear cell meningioma	Gray	CCM	mngt
ccoc	Clear Cell Odontogenic Carcinoma	clear cell odontogenic carcinoma	DarkRed	CCOC	odgc
ccov	Clear Cell Ovarian Cancer	clear cell ovarian cancer	LightBlue	CCOV	ovt
ccprc	Clear Cell Papillary Renal Cell Carcinoma	clear cell papillary renal cell carcinoma	Orange	CCPRC	nccrcc
ccrcc	Renal Clear Cell Carcinoma	renal clear cell carcinoma	Orange	CCRCC	rcc
ccs	Clear Cell Sarcoma	clear cell sarcoma	LightYellow	CCS	soft_tissue
ccsk	Clear Cell Sarcoma of Kidney	clear cell sarcoma of kidney	Orange	CCSK	kidney
cdrcc	Collecting Duct Renal Cell Carcinoma	collecting duct renal cell carcinoma	Orange	CDRCC	nccrcc
cead	Cervical Adenocarcinoma	cervical adenocarcinoma	Teal	CEAD	cervix
ceais	Cervical Adenocarcinoma In Situ	cervical adenocarcinoma in situ	Teal	CEAIS	cervix
ceas	Cervical Adenosquamous Carcinoma	cervical adenosquamous carcinoma	Teal	CEAS	cervix
cecc	Cervical Clear Cell Carcinoma	cervical clear cell carcinoma	Teal	CECC	cead
ceen	Cervical Endometrioid Carcinoma	cervical endometrioid carcinoma	Teal	CEEN	cead
cegcc	Glassy Cell Carcinoma of the Cervix	glassy cell carcinoma of the cervix	Teal	CEGCC	cervix
celi	Cervical Leiomyosarcoma	cervical leiomyosarcoma	Teal	CELI	cervix
celnos	Chronic Eosinophilic Leukemia, NOS	chronic eosinophilic leukemia, nos	LightSalmon	CELNOS	mpn
cemn	Mesonephric Carcinoma	mesonephric carcinoma	Teal	CEMN	cead
cemu	Mucinous Carcinoma	mucinous carcinoma	Teal	CEMU	cead
cene	Cervical Neuroendocrine Tumor	cervical neuroendocrine tumor	Teal	CENE	cervix
cerms	Cervical Rhabdomyosarcoma	cervical rhabdomyosarcoma	Teal	CERMS	cervix
cervix	Cervix	cervix	Teal	CERVIX	tissue
cesc	Cervical Squamous Cell Carcinoma	cervical squamous cell carcinoma	Teal	CESC	cervix
cese	Cervical Serous Carcinoma	cervical serous carcinoma	Teal	CESE	cead
cevg	Villoglandular Carcinoma	villoglandular carcinoma	Teal	CEVG	cead
chbl	Chondroblastoma	chondroblastoma	White	CHBL	bone
chdm	Chordoma	chordoma	White	CHDM	bone
chgl	Chordoid Glioma of the Third Ventricle	chordoid glioma of the third ventricle	Gray	CHGL	mnet
chl	Classical Hodgkin Lymphoma	classical hodgkin lymphoma	LimeGreen	CHL	hl
chlptld	Classical Hodgkin Lymphoma PTLD	classical hodgkin lymphoma ptld	LimeGreen	CHLPTLD	ptld
chm	Complete Hydatidiform Mole	complete hydatidiform mole	PeachPuff	CHM	mp
chol	Cholangiocarcinoma	cholangiocarcinoma	Green	CHOL	biliary_tract
chom	Chordoid Meningioma	chordoid meningioma	Gray	CHOM	mngt
chos	Chondroblastic Osteosarcoma	chondroblastic osteosarcoma	White	CHOS	os
chrcc	Chromophobe Renal Cell Carcinoma	chromophobe renal cell carcinoma	Orange	CHRCC	nccrcc
chs	Chondrosarcoma	chondrosarcoma	White	CHS	bone
cllsll	Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma	chronic lymphocytic leukemia/small lymphocytic lymphoma	LimeGreen	CLLSLL	mbn
clnc	Cerebellar Liponeurocytoma	cerebellar liponeurocytoma	Gray	CLNC	mnet
clpdnk	Chronic Lymphoproliferative Disorder of NK Cells	chronic lymphoproliferative disorder of nk cells	LimeGreen	CLPDNK	mtnn
cm	Conjunctival Melanoma	conjunctival melanoma	Green	CM	om
cmc	Medullary Carcinoma of the Colon	medullary carcinoma of the colon	SaddleBrown	CMC	bowel
cmcd	Cutaneous Mastocytosis	cutaneous mastocytosis	LightSalmon	CMCD	mcd
cml	Chronic Myelogenous Leukemia	chronic myelogenous leukemia	LightSalmon	CML	mpn
cmlbcrabl1	Chronic Myeloid Leukemia, BCR-ABL1+	chronic myeloid leukemia, bcr-abl1+	LightSalmon	CMLBCRABL1	cml
cmml	Chronic Myelomonocytic Leukemia	chronic myelomonocytic leukemia	LightSalmon	CMML	mds/mpn
cmml0	Chronic Myelomonocytic Leukemia-0	chronic myelomonocytic leukemia-0	LightSalmon	CMML0	cmml
cmml1	Chronic Myelomonocytic Leukemia-1	chronic myelomonocytic leukemia-1	LightSalmon	CMML1	cmml
cmml2	Chronic Myelomonocytic Leukemia-2	chronic myelomonocytic leukemia-2	LightSalmon	CMML2	cmml
cmpt	Ciliated Muconodular Papillary Tumor of the Lung	ciliated muconodular papillary tumor of the lung	Gainsboro	CMPT	nsclc
cnc	Central Neurocytoma	central neurocytoma	Gray	CNC	mnet
cnl	Chronic Neutrophilic Leukemia	chronic neutrophilic leukemia	LightSalmon	CNL	mpn
coad	Colon Adenocarcinoma	colon adenocarcinoma	SaddleBrown	COAD	coadread
coadread	Colorectal Adenocarcinoma	colorectal adenocarcinoma	SaddleBrown	COADREAD	bowel
com	Carcinoma with Osseous Metaplasia	carcinoma with osseous metaplasia	HotPink	COM	mmbc
cpc	Choroid Plexus Carcinoma	choroid plexus carcinoma	Gray	CPC	cpt
cpp	Choroid Plexus Papilloma	choroid plexus papilloma	Gray	CPP	cpt
cpt	Choroid Plexus Tumor	choroid plexus tumor	Gray	CPT	brain
cranio	Craniopharyngioma	brain,brain tumor	Yellow	cranio	tissue
cscc	Cutaneous Squamous Cell Carcinoma	cutaneous squamous cell carcinoma	Black	CSCC	skin
cschw	Cellular Schwannoma	cellular schwannoma	Gray	CSCHW	schw
csclc	Combined Small Cell Lung Carcinoma	combined small cell lung carcinoma	Gainsboro	CSCLC	lung
csnos	Breast Invasive Carcinosarcoma, NOS	breast invasive carcinosarcoma, nos	HotPink	CSNOS	brca
ctaap	Colonic Type Adenocarcinoma of the Appendix	colonic type adenocarcinoma of the appendix	SaddleBrown	CTAAP	apad
cup	Cancer of Unknown Primary	cancer of unknown primary	Black	CUP	other
cupnos	Cancer of Unknown Primary, NOS	cancer of unknown primary, nos	Black	CUPNOS	cup
da	Duodenal Adenocarcinoma	duodenal adenocarcinoma	SaddleBrown	DA	sbc
dastr	Diffuse Astrocytoma	diffuse astrocytoma	Gray	DASTR	difg
dcis	Breast Ductal Carcinoma In Situ	breast ductal carcinoma in situ	HotPink	DCIS	breast
dcs	Dendritic Cell Sarcoma	dendritic cell sarcoma	LightYellow	DCS	soft_tissue
ddchdm	Dedifferentiated Chordoma	dedifferentiated chordoma	White	DDCHDM	chdm
ddchs	Dedifferentiated Chondrosarcoma	dedifferentiated chondrosarcoma	White	DDCHS	chs
ddls	Dedifferentiated Liposarcoma	dedifferentiated liposarcoma	LightYellow	DDLS	lipo
des	Desmoid/Aggressive Fibromatosis	desmoid/aggressive fibromatosis	LightYellow	DES	soft_tissue
desm	Desmoplastic Melanoma	desmoplastic melanoma	Black	DESM	mel
df	Dermatofibroma	dermatofibroma	Black	DF	skin
dfl	Duodenal-Type Follicular Lymphoma	duodenal-type follicular lymphoma	LimeGreen	DFL	fl
dfsp	Dermatofibrosarcoma Protuberans	dermatofibrosarcoma protuberans	Black	DFSP	skin
dia	Desmoplastic Infantile Astrocytoma	desmoplastic infantile astrocytoma	Gray	DIA	mnet
difg	Diffuse Glioma	diffuse glioma	Gray	DIFG	brain
dig	Desmoplastic Infantile Ganglioglioma	desmoplastic infantile ganglioglioma	Gray	DIG	mnet
dipg	Diffuse Intrinsic Pontine Glioma	diffuse intrinsic pontine glioma	Gray	DIPG	difg
dlbclci	DLBCL Associated with Chronic Inflammation	dlbcl associated with chronic inflammation	LimeGreen	DLBCLCI	mbn
dlbclnos	Diffuse Large B-Cell Lymphoma, NOS	diffuse large b-cell lymphoma, nos	LimeGreen	DLBCLNOS	mbn
dmbl	Desmoplastic/Nodular Medulloblastoma	desmoplastic/nodular medulloblastoma	Gray	DMBL	embt
dnt	Dysembryoplastic Neuroepithelial Tumor	dysembryoplastic neuroepithelial tumor	Gray	DNT	encg
dsrct	Desmoplastic Small-Round-Cell Tumor	desmoplastic small-round-cell tumor	LightYellow	DSRCT	soft_tissue
dstad	Diffuse Type Stomach Adenocarcinoma	diffuse type stomach adenocarcinoma	LightSkyBlue	DSTAD	stad
dte	Desmoplastic Trichoepithelioma	desmoplastic trichoepithelioma	Black	DTE	skin
eatl	Enteropathy-Associated T-Cell Lymphoma	enteropathy-associated t-cell lymphoma	LimeGreen	EATL	mtnn
ebov	Endometrioid Borderlin Ovarian Tumor	endometrioid borderlin ovarian tumor	LightBlue	EBOV	ovt
ebvdlbclnos	EBV Positive DLBCL, NOS	ebv positive dlbcl, nos	LimeGreen	EBVDLBCLNOS	mbn
ebvmcu	EBV Positive Mucocutaneous Ulcer	ebv positive mucocutaneous ulcer	LimeGreen	EBVMCU	mbn
ecad	Endocervical Adenocarcinoma	endocervical adenocarcinoma	Teal	ECAD	cead
ecd	Erdheim-Chester Disease	erdheim-chester disease	LightSalmon	ECD	hdcn
egc	Esophagogastric Adenocarcinoma	esophagogastric adenocarcinoma	LightSkyBlue	EGC	stomach
egct	Extra Gonadal Germ Cell Tumor	extra gonadal germ cell tumor	Black	EGCT	other
ehae	Epithelioid Hemangioendothelioma	epithelioid hemangioendothelioma	LightYellow	EHAE	soft_tissue
ehch	Extrahepatic Cholangiocarcinoma	extrahepatic cholangiocarcinoma	Green	EHCH	chol
emalt	Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue (MALT lymphoma)	extranodal marginal zone lymphoma of mucosa-associated lymphoid tissue (malt lymphoma)	LimeGreen	EMALT	mzl
embc	Epithelial Type Metaplastic Breast Cancer	epithelial type metaplastic breast cancer	HotPink	EMBC	mbc
embca	Embryonal Carcinoma	embryonal carcinoma	Red	EMBCA	nsgct
embt	Embryonal Tumor	embryonal tumor	Gray	EMBT	brain
emchs	Extraskeletal Myxoid Chondrosarcoma	extraskeletal myxoid chondrosarcoma	White	EMCHS	chs
empd	Extramammary Paget Disease	extramammary paget disease	Black	EMPD	skin
empsgc	Endocrine Mucin Producing Sweat Gland Carcinoma	endocrine mucin producing sweat gland carcinoma	Black	EMPSGC	skin
emyoca	Epithelial-Myoepithelial Carcinoma	epithelial-myoepithelial carcinoma	DarkRed	EMYOCA	ohnca
encg	Encapsulated Glioma	encapsulated glioma	Gray	ENCG	brain
enkl	Extranodal NK-/T-Cell Lymphoma, Nasal Type	extranodal nk-/t-cell lymphoma, nasal type	LimeGreen	ENKL	mtnn
eov	Endometrioid Ovarian Cancer	endometrioid ovarian cancer	LightBlue	EOV	ovt
ep	Extraosseous Plasmacytoma	extraosseous plasmacytoma	LimeGreen	EP	mbn
epdca	Esophageal Poorly Differentiated Carcinoma	esophageal poorly differentiated carcinoma	LightSkyBlue	EPDCA	stomach
epis	Epithelioid Sarcoma	epithelioid sarcoma	LightYellow	EPIS	soft_tissue
epm	Ependymoma	ependymoma	Gray	EPM	epmt
epmt	Ependymomal Tumor	ependymomal tumor	Gray	EPMT	brain
erms	Embryonal Rhabdomyosarcoma	embryonal rhabdomyosarcoma	LightYellow	ERMS	rms
es	Ewing Sarcoma	ewing sarcoma	White	ES	bone
esca	Esophageal Adenocarcinoma	esophageal adenocarcinoma	LightSkyBlue	ESCA	egc
escc	Esophageal Squamous Cell Carcinoma	esophageal squamous cell carcinoma	LightSkyBlue	ESCC	stomach
esmm	Mucosal Melanoma of the Esophagus	mucosal melanoma of the esophagus	LightSkyBlue	ESMM	stomach
ess	Endometrial Stromal Sarcoma	endometrial stromal sarcoma	PeachPuff	ESS	usarc
esst	Ewing Sarcoma of Soft Tissue	ewing sarcoma of soft tissue	LightYellow	ESST	soft_tissue
et	Essential Thrombocythemia	essential thrombocythemia	LightSalmon	ET	mpn
etantr	Embryonal Tumor with Abundant Neuropil and True Rosettes	embryonal tumor with abundant neuropil and true rosettes	Gray	ETANTR	embt
etmf	Essential Thrombocythemia Myelofibrosis	essential thrombocythemia myelofibrosis	LightSalmon	ETMF	et
etpll	Early T-Cell Precursor Lymphoblastic Leukemia	early t-cell precursor lymphoblastic leukemia	LimeGreen	ETPLL	tll
ett	Epithelioid Trophoblastic Tumor	epithelioid trophoblastic tumor	PeachPuff	ETT	gtd
evn	Extraventricular Neurocytoma	extraventricular neurocytoma	Gray	EVN	mnet
eye	Eye	eye	Green	EYE	tissue
fa	Fibroadenoma	fibroadenoma	HotPink	FA	bfn
