BS_ID	SQ_Value
BS_769BDPDB	NantOmics
BS_77317DY4	NantOmics
BS_775HDFNY	NantOmics
BS_77CDMEY4	NantOmics
BS_78QX3XDF	NantOmics
BS_7B89YR6K	NantOmics
BS_7BTZQKYY	NantOmics
BS_7BW0YRPY	NantOmics
BS_7C40TRCY	NantOmics
BS_7FWZ518S	NantOmics
BS_7G42J2SK	BGI@CHOP Genome Center
BS_7GJT4A6A	NantOmics
BS_7H4RFCW9	NantOmics
BS_7N0B2CY1	NantOmics
BS_7P83Z28P	NantOmics
BS_7S6GNG04	NantOmics
BS_7T1J3KET	NantOmics
BS_7WM3MNZ0	The Translational Genomics Research Institute
BS_7WNSZNE3	NantOmics
BS_7XQRH69M	NantOmics
BS_7XRN3CFX	NantOmics
BS_7Z93ZYMS	NantOmics
BS_7ZV3DPGT	NantOmics
BS_81SP2HX4	NantOmics
BS_84XCR9GG	NantOmics
BS_850BAHH9	NantOmics
BS_86Q14TZG	NantOmics
BS_893A91ZM	NantOmics
BS_8D0NYM46	NantOmics
BS_8F9BDWY4	NantOmics
BS_8GW1TMV2	BGI@CHOP Genome Center
BS_8J09S6MZ	NantOmics
BS_8J3B6ZB6	NantOmics
BS_8MA5B8Y9	BGI@CHOP Genome Center
BS_8NY9J9NQ	NantOmics
BS_8PNA0V6R	NantOmics
BS_8Q77HZ4R	NantOmics
BS_8QB4S4VA	BGI
BS_8RCR7Y4B	NantOmics
BS_8RHPJ740	NantOmics
BS_8S86CM61	NantOmics
BS_8SKZ7BRN	NantOmics
BS_8T7DZV2F	BGI@CHOP Genome Center
BS_8VAZSJEN	NantOmics
BS_8WPNFT03	NantOmics
BS_8Z3SCKB5	NantOmics
BS_8ZD6J47V	NantOmics
BS_8ZP3CBQA	NantOmics
BS_8ZS9F31R	BGI@CHOP Genome Center
BS_8ZY4GST0	The Translational Genomics Research Institute
BS_90B22NGP	NantOmics
BS_912NX4Y0	NantOmics
BS_91VYM11A	NantOmics
BS_92MT680S	NantOmics
BS_92VDQ0NE	NantOmics
BS_94MT16N2	NantOmics
BS_9755PSCS	NantOmics
BS_97M1E2DW	NantOmics
BS_983Z6CA6	NantOmics
BS_996ZS2A4	NantOmics
BS_99B1XRZQ	NantOmics
BS_9BJARSX3	NantOmics
BS_9CA93S6D	NantOmics
BS_9DFBHHB5	NantOmics
BS_9DZ253JY	NantOmics
BS_9E7YVFJM	NantOmics
BS_9F09XV62	NantOmics
BS_9FHSNVS0	NantOmics
BS_9G69F50J	NantOmics
BS_9GJ23RHH	NantOmics
BS_9HA238XS	NantOmics
BS_9HSGV9TJ	NantOmics
BS_9M5XJ10G	NantOmics
BS_9NJHQE9F	NantOmics
