BS_ID	SQ_Value
BS_F8N6CFQE	NantOmics
BS_F9ZXCH60	NOT REPORTED
BS_FAQQ0GCQ	NantOmics
BS_FAVRBEW7	NantOmics
BS_FBJ5Q54N	NantOmics
BS_FCAKKZ20	NantOmics
BS_FCDAH728	The Translational Genomics Research Institute
BS_FE3BY6DT	NOT REPORTED
BS_FEPRNEXX	NantOmics
BS_FHNTKFVJ	NOT REPORTED
BS_FJWZ3M7V	NantOmics
BS_FJZPQZ2C	NantOmics
BS_FKDQJJB5	NantOmics
BS_FN07P04C	BGI
BS_FRY5NFRY	NOT REPORTED
BS_FTKPQ5FZ	BGI@CHOP Genome Center
BS_FW5ECXXK	BGI@CHOP Genome Center
BS_FYRDYBMZ	NantOmics
BS_G1Y281HX	NantOmics
BS_G23JJAZY	BGI@CHOP Genome Center
BS_G3NN392N	The Translational Genomics Research Institute
BS_G3RJTBZD	NantOmics
BS_G63HYD6N	NantOmics
BS_GB1XPW06	NOT REPORTED
BS_GCA4GET3	NantOmics
BS_GCQFGDTX	NantOmics
BS_GE2RVZE6	NantOmics
BS_GFM6EA61	NantOmics
BS_GHNJ4CYC	NantOmics
BS_GM9Y3AZ5	NantOmics
BS_GMDQK06Q	NantOmics
BS_GMH5C45K	NOT REPORTED
BS_GR7694W1	NOT REPORTED
BS_GS1KR5PK	NantOmics
BS_GSVCN2XC	NantOmics
BS_GW0GKWMS	NantOmics
BS_GWN2F333	NOT REPORTED
BS_GWSJ4Z9H	The Translational Genomics Research Institute
BS_GXTFW99H	NantOmics
BS_GYA4V1RD	NantOmics
BS_GYXSDZ56	NantOmics
BS_H0QWRJE2	NantOmics
BS_H1ZS5FMZ	NantOmics
BS_H3FE3TH9	NantOmics
BS_H4B5Y6S0	BGI@CHOP Genome Center
BS_H4NXBD2D	BGI@CHOP Genome Center
BS_H4TFY19Z	NOT REPORTED
BS_H8A9PSYA	NantOmics
BS_H97S5SQN	The Translational Genomics Research Institute
BS_HA1N9VCX	NOT REPORTED
BS_HA20Y4XY	NantOmics
BS_HBJZR69P	NantOmics
BS_HBMHZEGZ	NOT REPORTED
BS_HC44ZA0V	NantOmics
BS_HCP5C912	NantOmics
BS_HD4EJYE3	NantOmics
BS_HE0WJRW6	BGI
BS_HE57E1RP	NantOmics
BS_HEJAPS03	NOT REPORTED
BS_HF3RNN2T	NantOmics
BS_HHPA8NJ2	NantOmics
BS_HKZENFDA	BGI@CHOP Genome Center
BS_HP8EEDS6	NOT REPORTED
BS_HQ5BJ6MW	NantOmics
BS_HSHN8PBB	NantOmics
BS_HWGWYCY7	BGI@CHOP Genome Center
BS_HX0S30NE	NantOmics
BS_HZ707C55	NantOmics
BS_HZE3KYZ1	NantOmics
BS_HZRM07TW	NantOmics
BS_J1AB8PMA	NantOmics
BS_J483EMFP	NantOmics
BS_J70GK8SM	BGI@CHOP Genome Center
BS_J71N7D09	NantOmics
BS_J8G4SH4Z	NantOmics
BS_J8VX4D17	NantOmics
BS_J9EH31NM	NOT REPORTED
BS_JAEM78XS	NantOmics
BS_JB43XBCQ	The Translational Genomics Research Institute
BS_JBKQ59CW	NOT REPORTED
BS_JFB984RG	NantOmics
BS_JFEZA9KE	NantOmics
BS_JFJYEHFM	NOT REPORTED
BS_JFR750KD	NantOmics
BS_JGA9BP3A	BGI@CHOP Genome Center
BS_JGPR9SR2	NantOmics
BS_JH29M4KG	NantOmics
BS_JHGW42S6	NantOmics
BS_JK0VPG1T	NantOmics
BS_JKXA3FQC	NantOmics
BS_JMHG7GCN	NantOmics
BS_JQVAWTTM	The Translational Genomics Research Institute
BS_JR5ATB7G	NantOmics
BS_JRYJGYC4	NantOmics
BS_JS95PE0J	NantOmics
BS_JSPR854S	NantOmics
BS_JT82QGXF	NantOmics
BS_JTMXAMB7	BGI@CHOP Genome Center
BS_JVA2NQFF	NantOmics
BS_JWSR581E	NantOmics
BS_JWXQFZY9	NOT REPORTED
BS_JXNZYGCR	NantOmics
BS_JY850J9G	NOT REPORTED
BS_K17VQECG	NantOmics
BS_K2FHZGTK	NantOmics
